Arm,Reward,Regret,Algorithm
3,2.48528494125895,0,Epsilon-Greedy
3,1.990140386584169,0,Epsilon-Greedy
3,4.154885439617118,0,Epsilon-Greedy
3,2.8228772354650173,0,Epsilon-Greedy
3,4.090655809793401,0,Epsilon-Greedy
3,3.5569105942488672,0,Epsilon-Greedy
3,4.683903029496113,0,Epsilon-Greedy
3,4.721625598612024,0,Epsilon-Greedy
3,3.9176189976021902,0,Epsilon-Greedy
3,4.812378150333332,0,Epsilon-Greedy
3,5.214509852448231,0,Epsilon-Greedy
3,3.6239754613691395,0,Epsilon-Greedy
3,4.843247747550449,0,Epsilon-Greedy
3,3.3817342787414515,0,Epsilon-Greedy
3,4.189177402128369,0,Epsilon-Greedy
3,1.811486380444614,0,Epsilon-Greedy
3,4.323708653589356,0,Epsilon-Greedy
3,1.6733005361105895,0,Epsilon-Greedy
3,3.5200868977588997,0,Epsilon-Greedy
3,2.918557820911854,0,Epsilon-Greedy
3,3.4600033665657515,0,Epsilon-Greedy
3,4.62659566857389,0,Epsilon-Greedy
3,3.8708937444376756,0,Epsilon-Greedy
3,5.761297155569293,0,Epsilon-Greedy
3,3.0272548629278777,0,Epsilon-Greedy
3,5.314506991482542,0,Epsilon-Greedy
3,3.732023047027531,0,Epsilon-Greedy
3,5.093423350519906,0,Epsilon-Greedy
3,3.919687670237794,0,Epsilon-Greedy
3,3.2124809151943476,0,Epsilon-Greedy
3,4.9342527172925,0,Epsilon-Greedy
3,4.779822354267305,0,Epsilon-Greedy
3,3.9495153640919867,0,Epsilon-Greedy
3,2.438684590201632,0,Epsilon-Greedy
3,4.828914657075169,0,Epsilon-Greedy
3,3.011322357285122,0,Epsilon-Greedy
3,5.1216923965832795,0,Epsilon-Greedy
3,3.691024602452905,0,Epsilon-Greedy
3,3.9087464861407315,0,Epsilon-Greedy
3,4.116124081067958,0,Epsilon-Greedy
3,4.346712278054191,0,Epsilon-Greedy
3,4.9069001192850745,0,Epsilon-Greedy
3,3.6993639586690388,0,Epsilon-Greedy
3,4.227660833113455,0,Epsilon-Greedy
3,2.8007403532098207,0,Epsilon-Greedy
3,4.265570491933968,0,Epsilon-Greedy
3,4.858002494924125,0,Epsilon-Greedy
3,5.479412055704853,0,Epsilon-Greedy
3,4.383192328695189,0,Epsilon-Greedy
3,3.631025761925419,0,Epsilon-Greedy
3,4.261011569073324,0,Epsilon-Greedy
3,3.685050711987142,0,Epsilon-Greedy
3,4.308620493783795,0,Epsilon-Greedy
3,5.743823771793224,0,Epsilon-Greedy
3,3.6666379269481455,0,Epsilon-Greedy
3,3.2616100382322637,0,Epsilon-Greedy
3,2.558741097853338,0,Epsilon-Greedy
3,4.6110388228100225,0,Epsilon-Greedy
3,3.0651629268058227,0,Epsilon-Greedy
3,3.879137696913991,0,Epsilon-Greedy
3,3.2333700020080203,0,Epsilon-Greedy
3,5.42561760546184,0,Epsilon-Greedy
3,3.569431745549755,0,Epsilon-Greedy
3,4.255599302628444,0,Epsilon-Greedy
3,4.252199577695764,0,Epsilon-Greedy
3,6.563093317215239,0,Epsilon-Greedy
3,4.063066362711364,0,Epsilon-Greedy
3,4.588684164084814,0,Epsilon-Greedy
3,4.27257112121464,0,Epsilon-Greedy
3,3.0418924806896865,0,Epsilon-Greedy
3,4.58616596509145,0,Epsilon-Greedy
3,4.121902032517578,0,Epsilon-Greedy
3,2.6328455013340077,0,Epsilon-Greedy
3,3.6218297390077145,0,Epsilon-Greedy
3,3.6833160235485805,0,Epsilon-Greedy
3,3.152864107276762,0,Epsilon-Greedy
3,3.539880119548824,0,Epsilon-Greedy
3,4.3300092148941625,0,Epsilon-Greedy
3,3.7429076026516093,0,Epsilon-Greedy
3,5.925669168378448,0,Epsilon-Greedy
3,1.2798736138004743,0,Epsilon-Greedy
3,3.3369478297915713,0,Epsilon-Greedy
3,4.329213548230127,0,Epsilon-Greedy
3,3.5489552812120713,0,Epsilon-Greedy
3,2.6808830024526706,0,Epsilon-Greedy
3,3.1713361067254495,0,Epsilon-Greedy
3,3.196601925030439,0,Epsilon-Greedy
3,4.964849769424471,0,Epsilon-Greedy
3,4.7788395309237215,0,Epsilon-Greedy
3,4.088455937014344,0,Epsilon-Greedy
